Act,Korean,Translation
Electronics Industry,통신기계기구,Communication equipment
Electronics Industry,무선응용장치,Wireless application device
Electronics Industry,전자응용장치,Electronic application device
Electronics Industry,전기계측기,Electrical measuring instrument
Electronics Industry,전자관,Electronic tube
Electronics Industry,반도체소자,Semiconductor device
Electronics Industry,직접회로,Integrated crcuit
Electronics Industry,회로부품,Circuit parts
Electronics Industry,음향부품,Sound components
Electronics Industry,기구부품,Equipment parts
Electronics Industry,집합부품,Assembly parts
Electronics Industry,기타 기계·금속·화공계열부품,"Other mechanical, metal, and chemical parts"
Electronics Industry,자기재료,Magnetic material
Electronics Industry,절연재료,Insulating material
Electronics Industry,도전재료,Conductive material
Electronics Industry,반도체재료,Semiconductor material
Electronics Industry,특수재료,Special material
